Time	Aircraft Simulation Airspeed	Aircraft Simulation Pitch Angle
79.1	15.2592	11.53513
79.2	15.26779	11.52213
79.3	15.27653	11.50958
79.4	15.2851	11.49539
79.5	15.29346	11.48911
79.6	15.30198	11.48743
79.7	15.31019	11.48267
79.8	15.318	11.48215
79.9	15.3258	11.49036
80	15.33318	11.49527
80.1	15.34016	11.50192
80.2	15.34687	11.51843
80.3	15.35321	11.5329
80.4	15.35902	11.547
80.5	15.36431	11.56937
80.6	15.36934	11.59238
80.7	15.37368	11.61282
80.8	15.3774	11.6394
80.9	15.38083	11.66974
81	15.38355	11.69702
81.1	15.38561	11.72638
81.2	15.38731	11.76218
81.3	15.38836	11.79401
81.4	15.38869	11.82584
81.5	15.38856	11.86438
81.6	15.38789	11.89954
81.7	15.38655	11.93289
81.8	15.38462	11.97113
81.9	15.38231	12.00848
82	15.37938	12.04227
82.1	15.37582	12.07822
82.2	15.37201	12.11575
82.3	15.36759	12.14844
82.4	15.36267	12.1813
82.5	15.35746	12.21701
82.6	15.35187	12.24768
82.7	15.34578	12.27628
82.8	15.33943	12.30801
82.9	15.33289	12.33585
83	15.32596	12.35986
83.1	15.31878	12.38574
83.2	15.31154	12.40912
83.3	15.30406	12.42819
83.4	15.29636	12.44714
83.5	15.28878	12.46597
83.6	15.28106	12.47925
83.7	15.27323	12.4906
83.8	15.26556	12.50323
83.9	15.25793	12.51028
84	15.25031	12.5141
84.1	15.24282	12.51941
84.2	15.2356	12.52054
84.3	15.22852	12.51785
84.4	15.22163	12.51541
84.5	15.21512	12.51126
84.6	15.2088	12.50259
84.7	15.20272	12.49271
84.8	15.1971	12.48325
84.9	15.19175	12.46918
85	15.18675	12.45303
85.1	15.1822	12.43851
85.2	15.17804	12.42014
85.3	15.1743	12.39911
85.4	15.17096	12.37927
85.5	15.16812	12.35773
85.6	15.1657	12.33429
85.7	15.16368	12.31033
85.8	15.16218	12.28668
85.9	15.16108	12.26093
86	15.1604	12.23459
86.1	15.16017	12.20999
86.2	15.1604	12.18353
86.3	15.16102	12.1568
86.4	15.16206	12.13132
86.5	15.16349	12.1055
86.6	15.16528	12.07932
86.7	15.16747	12.05438
86.8	15.17001	12.0303
86.9	15.17283	12.0061
87	15.176	11.98312
87.1	15.17941	11.96149
87.2	15.18307	11.94016
87.3	15.18698	11.91968
87.4	15.1911	11.90134
87.5	15.1954	11.88406
87.6	15.19984	11.86832
87.7	15.2044	11.85422
