Time	Aircraft Simulation Net Global Force Y	Aircraft Simulation Position Z	Aircraft Simulation Altitude	Aircraft Simulation Airspeed
36.1	0	81.87565	52.50682	20.24186
36.2	0	83.77688	53.06197	20.25124
36.3	0	85.63306	53.61872	20.26053
36.4	0	87.42955	54.17694	20.26861
36.5	0	89.1527	54.73601	20.27492
36.6	0	90.78944	55.29551	20.28098
36.7	0	92.32781	55.85489	20.28555
36.8	0	93.75667	56.41363	20.28994
36.9	0	95.06541	56.97166	20.29493
37	0	96.24425	57.52886	20.29951
37.1	0	97.28395	58.08551	20.30557
37.2	0	98.17616	58.64184	20.31097
37.3	0	98.91333	59.19826	20.31764
37.4	0	99.48904	59.75513	20.32415
37.5	0	99.89867	60.31253	20.33024
37.6	0	100.1384	60.87078	20.33716
37.7	0	100.2067	61.42965	20.34177
37.8	0	100.1033	61.98902	20.3472
37.9	0	99.82919	62.5488	20.35161
38	0	99.38718	63.10844	20.35505
38.1	0	98.78062	63.66804	20.35975
38.2	0	98.01453	64.22725	20.36247
38.3	0	97.0947	64.78608	20.3668
38.4	0	96.02775	65.3447	20.37052
38.5	0	94.82188	65.90315	20.37431
38.6	0	93.4856	66.46161	20.37949
38.7	0	92.02906	67.02007	20.38289
38.8	0	90.46313	67.57877	20.38813
38.9	0	88.79958	68.13794	20.39188
39	0	87.0513	68.69725	20.3957
39.1	0	85.23144	69.25687	20.40019
39.2	0	83.35405	69.81649	20.40255
39.3	0	81.43347	70.37637	20.40673
39.4	0	79.48409	70.93623	20.40916
39.5	0	77.52084	71.49583	20.41214
39.6	0	75.55843	72.05544	20.41565
39.7	0	73.61169	72.61469	20.41768
39.8	0	71.6953	73.1739	20.42175
39.9	0	69.82378	73.73312	20.42426
40	0	68.01132	74.29236	20.4277
40.1	0	66.27183	74.85159	20.4312
40.2	0	64.61835	75.41082	20.43351
40.3	0	63.06367	75.97044	20.43741
40.4	0	61.61942	76.53005	20.43958
40.5	0	60.29648	77.08973	20.44277
40.6	0	59.10498	77.64972	20.44543
40.7	0	58.05358	78.20934	20.44733
40.8	0	57.15042	78.76895	20.4505
40.9	0	56.40217	79.32856	20.45216
41	0	55.81446	79.88817	20.45515
41.1	0	55.39194	80.44777	20.45753
41.2	0	55.13758	81.00711	20.45958
41.3	0	55.0537	81.56672	20.46255
41.4	0	55.14082	82.12633	20.46432
41.5	0	55.39835	82.68594	20.46727
41.6	0	55.82455	83.24555	20.46956
41.7	0	56.416	83.80517	20.47161
41.8	0	57.16843	84.36478	20.47411
41.9	0	58.07605	84.92439	20.47575
42	0	59.13201	85.48401	20.47819
42.1	0	60.32839	86.04362	20.48011
42.2	0	61.65613	86.60323	20.48201
42.3	0	63.10534	87.16283	20.4841
42.4	0	64.66509	87.72244	20.48588
42.5	0	66.32373	88.28206	20.48795
42.6	0	68.06878	88.84167	20.48991
42.7	0	69.88716	89.40128	20.49179
42.8	0	71.76523	89.96089	20.49374
42.9	0	73.68887	90.52051	20.4957
43	0	75.64355	91.08012	20.49734
43.1	0	77.61465	91.63973	20.49934
43.2	0	79.5873	92.19935	20.50084
43.3	0	81.54675	92.75896	20.50252
43.4	0	83.47826	93.31857	20.5044
43.5	0	85.36735	93.87818	20.50563
43.6	0	87.19979	94.4378	20.50772
43.7	0	88.96188	94.99741	20.50882
43.8	0	90.64034	95.55701	20.51045
43.9	0	92.22254	96.11662	20.51228
44	0	93.69675	96.67599	20.51338
44.1	0	95.05169	97.23558	20.51565
44.2	0	96.27733	97.79509	20.51641
44.3	0	97.36442	98.35449	20.51818
44.4	0	98.30469	98.9141	20.51972
44.5	0	99.09132	99.4734	20.52071
44.6	0	99.71811	100.033	20.52296
44.7	0	100.1806	100.5924	20.52342
44.8	0	100.4753	101.1517	20.52534
44.9	0	100.5997	101.7111	20.52646
45	0	100.5535	102.2703	20.52746
45.1	0	100.3363	102.8296	20.52962
45.2	0	99.95012	103.3888	20.52996
45.3	0	99.39777	103.948	20.53209
45.4	0	98.68322	104.5073	20.53284
45.5	0	97.8121	105.0665	20.53407
45.6	0	96.79053	105.6257	20.53598
45.7	0	95.62651	106.185	20.53626
45.8	0	94.3285	106.7442	20.53848
45.9	0	92.90624	107.3034	20.53893
46	0	91.37054	107.8625	20.54043
46.1	0	89.7326	108.4218	20.5419
46.2	0	88.00493	108.9807	20.54225
46.3	0	86.2003	109.5398	20.54441
46.4	0	84.33215	110.0989	20.54466
46.5	0	82.4146	110.6577	20.54638
46.6	0	80.46182	111.2168	20.5475
46.7	0	78.48855	111.7756	20.54807
46.8	0	76.50945	112.3345	20.55002
46.9	0	74.53923	112.8933	20.55023
47	0	72.59277	113.4522	20.55207
47.1	0	70.68455	114.011	20.55291
47.2	0	68.82884	114.5699	20.55375
47.3	0	67.03953	115.1287	20.55535
47.4	0	65.32989	115.6876	20.55554
47.5	0	63.71279	116.2464	20.55737
47.6	0	62.20033	116.8053	20.55803
47.7	0	60.8037	117.3641	20.55907
47.8	0	59.53352	117.923	20.56036
47.9	0	58.39906	118.4816	20.56068
48	0	57.40896	119.0403	20.56234
