Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z
52.8	56.79663	688.8625
52.9	56.859	690.5767
53	56.9403	692.283
53.1	57.03941	693.9794
53.2	57.15514	695.6643
53.3	57.28601	697.3361
53.4	57.43041	698.9937
53.5	57.58654	700.6357
53.6	57.75251	702.2614
53.7	57.9263	703.8698
53.8	58.1059	705.4603
53.9	58.2892	707.0327
54	58.47405	708.5865
54.1	58.65831	710.1219
54.2	58.83984	711.6392
54.3	59.01658	713.1387
54.4	59.18653	714.6208
54.5	59.34772	716.0864
54.6	59.49816	717.5364
54.7	59.63607	718.9717
54.8	59.75975	720.3939
54.9	59.86761	721.8038
55	59.95816	723.2031
55.1	60.03011	724.5935
55.2	60.08228	725.9762
55.3	60.11382	727.3532
55.4	60.12411	728.7263
55.5	60.1128	730.0964
55.6	60.07986	731.4662
55.7	60.02551	732.838
55.8	59.95027	734.2128
55.9	59.8549	735.593
56	59.74046	736.9802
56.1	59.60809	738.376
56.2	59.45917	739.7823
56.3	59.29517	741.2004
56.4	59.11763	742.6322
56.5	58.92823	744.0786
56.6	58.72872	745.541
56.7	58.52102	747.0201
56.8	58.30714	748.517
56.9	58.08907	750.0322
57	57.86879	751.5662
57.1	57.64829	753.1191
57.2	57.42976	754.6909
57.3	57.2153	756.2816
57.4	57.00697	757.8907
57.5	56.8067	759.5177
57.6	56.61644	761.1616
57.7	56.43813	762.8217
57.8	56.27359	764.4966
57.9	56.12436	766.1854
58	55.99193	767.886
58.1	55.87772	769.5974
58.2	55.78292	771.3174
58.3	55.7084	773.0443
58.4	55.65483	774.7761
58.5	55.62279	776.5109
58.6	55.6126	778.2456
58.7	55.62417	779.9801
58.8	55.65721	781.7108
58.9	55.71128	783.4363
59	55.78568	785.1546
59.1	55.87938	786.8634
59.2	55.9911	788.5612
59.3	56.11947	790.2464
59.4	56.26289	791.9172
59.5	56.4196	793.5727
59.6	56.58767	795.2116
59.7	56.76506	796.8329
59.8	56.94968	798.436
59.9	57.13934	800.0203
60	57.33186	801.5854
60.1	57.52497	803.1313
60.2	57.7165	804.6582
60.3	57.90421	806.1662
60.4	58.08598	807.6559
60.5	58.25976	809.1282
60.6	58.4235	810.5833
60.7	58.57525	812.0228
60.8	58.71311	813.4476
60.9	58.83537	814.8592
61	58.94044	816.259
61.1	59.02684	817.6483
61.2	59.09322	819.0292
61.3	59.13853	820.4028
61.4	59.16191	821.7712
61.5	59.16286	823.1362
61.6	59.14117	824.5
61.7	59.09693	825.8638
61.8	59.03056	827.2302
61.9	58.94273	828.6011
62	58.83436	829.978
62.1	58.7066	831.363
62.2	58.56078	832.7579
62.3	58.3984	834.1644
62.4	58.22109	835.5842
62.5	58.03055	837.0187
62.6	57.82856	838.4691
62.7	57.61697	839.9365
62.8	57.39774	841.4219
62.9	57.173	842.9261
63	56.94489	844.4496
63.1	56.71551	845.9928
63.2	56.48695	847.5557
63.3	56.26138	849.1384
63.4	56.04103	850.7405
63.5	55.82804	852.3616
63.6	55.62445	854.0009
63.7	55.43219	855.6577
63.8	55.25324	857.3305
63.9	55.08945	859.0183
64	54.94241	860.7197
64.1	54.81357	862.433
64.2	54.70431	864.1564
64.3	54.61582	865.8881
64.4	54.54892	867.626
64.5	54.50419	869.3681
64.6	54.48212	871.1119
64.7	54.48291	872.8558
64.8	54.50639	874.5973
64.9	54.5521	876.3341
65	54.61942	878.0645
65.1	54.70751	879.786
65.2	54.81519	881.497
65.3	54.94103	883.1955
65.4	55.08343	884.88
65.5	55.24069	886.5491
65.6	55.41087	888.2014
65.7	55.5919	889.8358
65.8	55.78158	891.4514
65.9	55.97768	893.0479
66	56.17793	894.6245
66.1	56.37999	896.181
66.2	56.58159	897.7177
66.3	56.78041	899.2344
66.4	56.97416	900.7319
66.5	57.16063	902.2106
66.6	57.33768	903.6711
66.7	57.50332	905.1148
66.8	57.65551	906.5426
66.9	57.79233	907.956
67	57.91201	909.3561
67.1	58.01294	910.7447
67.2	58.09366	912.1234
67.3	58.15288	913.4937
67.4	58.18955	914.8578
67.5	58.20295	916.2172
67.6	58.19267	917.5751
67.7	58.15866	918.9324
67.8	58.10121	920.2902
67.9	58.02093	921.6519
68	57.9187	923.0186
68.1	57.79561	924.3929
68.2	57.65294	925.7764
68.3	57.49216	927.1713
68.4	57.3149	928.5791
68.5	57.12293	930.0015
68.6	56.91814	931.44
68.7	56.70243	932.8957
68.8	56.47777	934.3698
68.9	56.2462	935.8629
69	56.00996	937.376
69.1	55.7713	938.9095
69.2	55.5325	940.4635
69.3	55.2957	942.0382
69.4	55.06314	943.6335
69.5	54.83712	945.2487
69.6	54.61989	946.8834
69.7	54.41351	948.5369
69.8	54.21996	950.2078
69.9	54.04126	951.8951
70	53.87929	953.5971
70.1	53.7357	955.3126
70.2	53.61182	957.0396
70.3	53.50904	958.7762
70.4	53.42846	960.5204
70.5	53.37088	962.2698
70.6	53.33676	964.0228
70.7	53.32643	965.7757
70.8	53.33997	967.5282
70.9	53.37714	969.2768
71	53.43729	971.0198
71.1	53.51962	972.7545
71.2	53.6231	974.4789
71.3	53.74642	976.1915
71.4	53.88795	977.8901
71.5	54.04591	979.5731
71.6	54.21838	981.2393
71.7	54.40328	982.8873
71.8	54.59838	984.5159
71.9	54.80133	986.1248
72	55.00975	987.713
72.1	55.2212	989.2805
72.2	55.43327	990.8269
72.3	55.64362	992.3525
72.4	55.84981	993.8577
72.5	56.04948	995.3431
72.6	56.24035	996.8092
72.7	56.42027	998.257
72.8	56.58712	999.6875
72.9	56.73889	1001.102
73	56.8736	1002.503
73.1	56.98946	1003.89
73.2	57.08483	1005.267
73.3	57.15825	1006.634
73.4	57.20847	1007.993
73.5	57.23454	1009.347
73.6	57.23587	1010.697
73.7	57.21222	1012.046
73.8	57.16376	1013.395
73.9	57.09097	1014.747
74	56.99471	1016.103
74.1	56.87609	1017.466
