Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z
90.7	1.433807	4.848671
90.8	1.433802	4.84865
90.9	1.433804	4.848628
91	1.433802	4.848608
91.1	1.433807	4.84859
91.2	1.433804	4.848565
91.3	1.433804	4.848548
91.4	1.433806	4.84853
91.5	1.433803	4.848505
91.6	1.433803	4.848482
91.7	1.433802	4.848462
91.8	1.433803	4.848443
91.9	1.433802	4.848419
92	1.433805	4.848399
92.1	1.433801	4.848382
92.2	1.433801	4.848356
92.3	1.433805	4.848329
92.4	1.433801	4.848308
92.5	1.4338	4.848281
92.6	1.433803	4.848261
92.7	1.433803	4.84824
92.8	1.433799	4.848225
92.9	1.4338	4.848199
93	1.433797	4.848178
93.1	1.433799	4.848158
93.2	1.433797	4.848142
93.3	1.433805	4.848113
93.4	1.433801	4.848093
93.5	1.433799	4.848073
93.6	1.433804	4.848045
93.7	1.433798	4.848032
93.8	1.433797	4.848011
93.9	1.433799	4.847991
94	1.433794	4.847969
94.1	1.433797	4.847941
94.2	1.433797	4.84792
94.3	1.433799	4.847904
94.4	1.433795	4.847887
94.5	1.433801	4.847866
94.6	1.433796	4.847847
94.7	1.433794	4.847818
94.8	1.433795	4.847795
94.9	1.433796	4.847767
95	1.433793	4.847747
95.1	1.433796	4.847726
95.2	1.433795	4.847708
95.3	1.433796	4.847687
95.4	1.433796	4.847663
95.5	1.433794	4.847645
95.6	1.433795	4.847628
95.7	1.433795	4.847603
95.8	1.433794	4.847583
95.9	1.43379	4.847562
96	1.433791	4.847542
96.1	1.433794	4.847517
96.2	1.433797	4.847496
96.3	1.433794	4.847472
96.4	1.433793	4.847451
96.5	1.433789	4.847431
96.6	1.433792	4.847404
96.7	1.433791	4.847386
96.8	1.433793	4.847369
96.9	1.433793	4.847347
97	1.433789	4.847327
97.1	1.433789	4.847299
97.2	1.433787	4.847273
97.3	1.433791	4.847248
97.4	1.433787	4.847233
97.5	1.433787	4.847214
97.6	1.433794	4.847191
97.7	1.43379	4.847169
97.8	1.433787	4.847153
97.9	1.433789	4.847125
98	1.433788	4.8471
98.1	1.433786	4.847075
98.2	1.433788	4.847053
98.3	1.43379	4.847035
98.4	1.433785	4.847017
98.5	1.433787	4.847002
98.6	1.433786	4.846984
98.7	1.433786	4.846959
98.8	1.433787	4.846945
98.9	1.433787	4.846918
99	1.433788	4.84689
99.1	1.433787	4.846864
99.2	1.433789	4.846842
99.3	1.433789	4.846823
99.4	1.433788	4.846798
99.5	1.433787	4.846779
99.6	1.433787	4.846753
99.7	1.433788	4.84673
99.8	1.433786	4.84671
99.9	1.433787	4.84669
100	1.433787	4.846669
100.1	1.433784	4.846648
100.2	1.433782	4.846627
100.3	1.433786	4.846603
